name,addr:city,addr:street,website,opening_hours,fhrs:rating,@lat,@lon,@user
,,,,,,51.5151161,-0.1372922,Paul The Archivist
,,,,,,51.5151398,-0.1373069,Paul The Archivist
,,,,,,51.5152088,-0.1370734,Mikhail1412
,,,,,,51.5151596,-0.1373191,Paul The Archivist
,,,,,,51.5151617,-0.1370465,Paul The Archivist
,,,,,,51.513993,-0.1390236,Paul The Archivist
,,,,,,51.5149743,-0.1373364,Paul The Archivist
,,,,,,51.514995,-0.1373501,Paul The Archivist
,,,,,,51.5149887,-0.1374329,Paul The Archivist
,,,,,,51.5148863,-0.1372922,Paul The Archivist
,,,,,,51.5136325,-0.1364543,Paul The Archivist
,,,,,,51.5136546,-0.1364683,Paul The Archivist
,,,,,,51.5136791,-0.1364837,Paul The Archivist
Jessie Matthews OBE,,,,,,51.5138219,-0.1350457,Mikhail1412
,,,,,,51.513846,-0.1350607,Mikhail1412
,,,,,,51.5138079,-0.135035,Paul The Archivist
,,,,,,51.5115174,-0.1354421,Mikhail1412
,,,,,,51.5114227,-0.1353112,Mikhail1412
,,,,,,51.511551,-0.135383,Mikhail1412
,,,,,,51.5114537,-0.1352496,Mikhail1412
,,,,,,51.5100209,-0.1257772,Paul The Archivist
,,,,,,51.5097801,-0.1259784,Paul The Archivist
,,,,,,51.5096408,-0.1259075,Paul The Archivist
,,,,,,51.5108623,-0.1320394,Mikhail1412
,,,,,,51.5108815,-0.1317953,Mikhail1412
,,,,,,51.5109097,-0.1318153,Mikhail1412
,,,,,,51.5087579,-0.1238792,Paul The Archivist
,,,,,,51.5097812,-0.1259674,Paul The Archivist
,,,,,,51.5096632,-0.1258565,Paul The Archivist
,,,,,,51.5097851,-0.1259294,Paul The Archivist
,,,,,,51.5098088,-0.1255453,Paul The Archivist
,,,,,,51.5098144,-0.1255441,Paul The Archivist
,,,,,,51.5097373,-0.1256927,Paul The Archivist
,,,,,,51.5098017,-0.125766,Paul The Archivist
Joseph Mallord William Turner R.A.,,,,,,51.5103843,-0.123594,Paul The Archivist
,,,,,,51.5103948,-0.1235696,Paul The Archivist
,,,,,,51.5103267,-0.1235989,Paul The Archivist
,,,,,,51.5152425,-0.123137,Paul The Archivist
,,,,,,51.5152109,-0.1233085,Paul The Archivist
,,,,,,51.5139624,-0.1303479,Mikhail1412
,,,,,,51.5146624,-0.130972,Mikhail1412
,,,,,,51.5139985,-0.1318498,Mikhail1412
,,,,,,51.5139546,-0.1319781,Mikhail1412
,,,,,,51.513918,-0.132396,Mikhail1412
,,,,,,51.5118007,-0.1257024,Paul The Archivist
,,,,,,51.5151452,-0.133204,Mikhail1412
,,,,,,51.5140281,-0.1342798,Konstantina Sermpini
,,,,,,51.5149081,-0.1334311,Mikhail1412
,,,,,,51.5129964,-0.1322974,Mikhail1412
,,,,,,51.5128445,-0.1322642,Mikhail1412
,,,,,,51.5112798,-0.1343678,Mikhail1412
,,,,,,51.510963,-0.1340764,Mikhail1412
,,,,,,51.5109438,-0.1342049,Mikhail1412
,,,,,,51.5108378,-0.134167,Mikhail1412
,,,,,,51.5108423,-0.1340376,Mikhail1412
,,,,,,51.5108494,-0.1340261,Mikhail1412
,,,,,,51.5108601,-0.1340261,Mikhail1412
,,,,,,51.5109097,-0.1341927,Mikhail1412
,,,,,,51.5107631,-0.1353095,Mikhail1412
,,,,,,51.5107582,-0.1353922,Mikhail1412
,,,,,,51.5108676,-0.1353257,Mikhail1412
,,,,,,51.5108626,-0.1354076,Mikhail1412
,,,,,,51.5111465,-0.1363351,Mikhail1412
,,,,,,51.51124,-0.1362445,Mikhail1412
,,,,,,51.511205,-0.1363203,Mikhail1412
,,,,,,51.5112066,-0.1362047,Mikhail1412
,,,,,,51.5112347,-0.1363556,Mikhail1412
,,,,,,51.5112095,-0.1364102,Mikhail1412
,,,,,,51.5127315,-0.1390956,doublah
,,,,,,51.5126643,-0.1392367,Mikhail1412
,,,,,,51.512696,-0.1390526,doublah
,,,,,,51.5126315,-0.1391951,Mikhail1412
,,,,,,51.5129344,-0.1425816,Mikhail1412
,,,,,,51.512774,-0.1426126,Mikhail1412
,,,,,,51.5129204,-0.1426713,Mikhail1412
,,,,,,51.5127879,-0.1425229,Mikhail1412
,,,,,,51.5129042,-0.1425695,Mikhail1412
,,,,,,51.5113382,-0.1416741,Mikhail1412
,,,,,,51.5114273,-0.1417836,Mikhail1412
,,,,,,51.511421,-0.1417577,Mikhail1412
,,,http://himetop.wikidot.com/the-broad-street-pump-original-site,,,51.5132996,-0.1366706,Captain Oates
O'Neills,London,Great Marlborough Street,https://www.oneills.co.uk/carnaby-street/,,5,51.5140838,-0.1391818,wheelmap_visitor
The Theodore Bullfrog,London,John Adam Street,https://www.theodore-bullfrog.co.uk/,,,51.508828,-0.1239044,b-jazz-bot
The Porterhouse,London,Maiden Lane,http://www.porterhousebrewco.com/bars-london-coventgarden.php,,,51.5102672,-0.1234178,wheelmap_visitor
The Lemon Tree,London,Bedfordbury,,,,51.5100015,-0.1256996,Lidistan
The Glassblower,,,,,,51.5106157,-0.1370337,Melis Ada Ozer
The Nags Head,London,James Street,,,,51.5129723,-0.1236221,wheelmap_visitor
The Chandos,London,Saint Martin's Lane,,,,51.5095635,-0.1266604,Lidistan
The Cross Keys,London,Endell Street,,,,51.5144712,-0.124817,Paul The Archivist
